frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1746867542.672533000,0.000000000,6,64,10.0.3.5,10.0.3.7,46681,6667,,,0x0002,0,0,0,64240,020405b4,,,74,1
1746867542.672553000,0.000020000,6,64,10.0.3.7,10.0.3.5,6667,46681,,,0x0012,0,1,0,5792,020405b4,,,74,1
1746867542.672692000,0.000139000,6,64,10.0.3.5,10.0.3.7,46681,6667,,,0x0010,1,1,0,64256,,,,66,1
1746867542.672816000,0.000124000,17,64,10.0.3.7,1.1.1.3,,,51477,53,,,,,,,,47,81,1
1746867542.736618000,0.063802000,17,255,1.1.1.3,10.0.3.7,,,53,51477,,,,,,,,47,81,1
1746867542.736905000,0.000287000,6,64,10.0.3.7,10.0.3.5,6667,46681,,,0x0018,1,1,174,5888,,174,,240,1
1746867542.737171000,0.000266000,6,64,10.0.3.5,10.0.3.7,46681,6667,,,0x0010,1,175,0,64128,,,,66,1
1746867542.738716000,0.001545000,6,64,10.0.3.5,10.0.3.7,46681,6667,,,0x0018,1,175,231,64128,,231,,297,1
1746867542.738731000,0.000015000,6,64,10.0.3.7,10.0.3.5,6667,46681,,,0x0010,175,232,0,6912,,,,66,1
1746867543.750642000,1.011911000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0002,0,0,0,5840,020405b4,,,74,1
1746867543.750926000,0.000284000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0012,0,1,0,65160,020405b4,,,74,1
1746867543.750926000,0.000000000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0010,1,1,0,5888,,,,66,1
1746867543.751302000,0.000376000,6,64,10.0.3.7,10.0.3.5,6667,46681,,,0x0018,175,232,62,6912,,62,,128,1
1746867543.792493000,0.041191000,6,64,10.0.3.5,10.0.3.7,46681,6667,,,0x0010,232,237,0,64128,,,,66,1
1746867544.773397000,0.980904000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0018,1,1,17,65280,,17,,83,1
1746867544.773527000,0.000130000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0010,1,18,0,5888,,,,66,1
1746867544.774220000,0.000693000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,1,18,12,5888,,12,,78,1
1746867544.774404000,0.000184000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,18,13,0,65280,,,,66,1
1746867547.664270000,2.889866000,,,,,,,,,,,,,,,,,42,1
1746867547.664745000,0.000475000,,,,,,,,,,,,,,,,,60,1
1746867549.777110000,2.112365000,6,64,10.0.3.5,10.0.3.7,46681,6667,,,0x0014,232,237,0,64128,,,,66,1
1746867550.076324000,0.299214000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0018,18,13,1,65280,,1,,67,1
1746867550.114231000,0.037907000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0010,13,19,0,5888,,,,66,1
1746867550.989750000,0.875519000,,,,,,,,,,,,,,,,,62,1
1746867559.264003000,8.274253000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0018,19,13,7,65280,,7,,73,1
1746867559.264084000,0.000081000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0010,13,26,0,5888,,,,66,1
1746867559.264979000,0.000895000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,13,26,5,5888,,5,,71,1
1746867559.265282000,0.000303000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,26,18,0,65280,,,,66,1
1746867565.294605000,6.029323000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0018,26,18,9,65280,,9,,75,1
1746867565.295102000,0.000497000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,18,35,89,5888,,89,,155,1
1746867565.295326000,0.000224000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,35,107,0,65280,,,,66,1
1746867569.144738000,3.849412000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0018,35,107,3,65280,,3,,69,1
1746867569.145562000,0.000824000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,107,38,24,5888,,24,,90,1
1746867569.145731000,0.000169000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,38,131,0,65280,,,,66,1
1746867572.861103000,3.715372000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0018,38,131,15,65280,,15,,81,1
1746867572.863333000,0.002230000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,131,53,1024,5888,,1024,,1090,1
1746867572.863671000,0.000338000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,53,1155,0,64256,,,,66,1
1746867572.863727000,0.000056000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,1155,53,1024,5888,,1024,,1090,1
1746867572.863918000,0.000191000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,53,2179,0,63232,,,,66,1
1746867572.865737000,0.001819000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,2179,53,1024,5888,,1024,,1090,1
1746867572.866216000,0.000479000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,53,3203,0,62208,,,,66,1
1746867572.867186000,0.000970000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,3203,53,1024,5888,,1024,,1090,1
1746867572.867513000,0.000327000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,53,4227,0,61184,,,,66,1
1746867572.867665000,0.000152000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,4227,53,1024,5888,,1024,,1090,1
1746867572.867914000,0.000249000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,53,5251,0,60160,,,,66,1
1746867572.867953000,0.000039000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5251,53,67,5888,,67,,133,1
1746867572.868115000,0.000162000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,53,5318,0,60160,,,,66,1
1746867577.510852000,4.642737000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0018,53,5318,53,61440,,53,,119,1
1746867577.512601000,0.001749000,1,64,10.0.3.7,10.0.3.1,,,,,,,,,,,,,98,1
1746867577.512733000,0.000132000,1,255,10.0.3.1,10.0.3.7,,,,,,,,,,,,,98,1
1746867577.512761000,0.000028000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5318,106,104,5888,,104,,170,1
1746867577.512961000,0.000200000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5422,0,61440,,,,66,1
1746867577.512967000,0.000006000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5422,106,144,5888,,144,,210,1
1746867577.513091000,0.000124000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5566,0,61312,,,,66,1
1746867577.514296000,0.001205000,,,,,,,,,,,,,,,,,42,1
1746867577.514692000,0.000396000,,,,,,,,,,,,,,,,,60,1
1746867577.514760000,0.000068000,1,64,10.0.3.7,10.0.3.2,,,,,,,,,,,,,98,1
1746867577.515669000,0.000909000,1,128,10.0.3.2,10.0.3.7,,,,,,,,,,,,,98,1
1746867577.515828000,0.000159000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5566,106,103,5888,,103,,169,1
1746867577.516108000,0.000280000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5669,0,61312,,,,66,1
1746867577.516137000,0.000029000,6,64,10.0.3.7,10.0.3.5,55046,4444,,,0x0018,5669,106,144,5888,,144,,210,1
1746867577.516314000,0.000177000,6,64,10.0.3.5,10.0.3.7,4444,55046,,,0x0010,106,5813,0,61184,,,,66,1
1746867577.516586000,0.000272000,1,64,10.0.3.7,10.0.3.3,,,,,,,,,,,,,98,1
1746867577.516734000,0.000148000,1,255,10.0.3.3,10.0.3.7,,,,,,,,,,,,,98,1
