frame.time_epoch,frame.time_delta,ip.proto,ip.ttl,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.flags,tcp.seq,tcp.ack,tcp.len,tcp.window_size,tcp.options.mss,tcp.analysis.bytes_in_flight,udp.length,frame.len,label
1747142562.506585000,0.000000000,,,,,,,,,,,,,,,,,42,0
1747142562.506887000,0.000302000,,,,,,,,,,,,,,,,,60,0
1747142562.506905000,0.000018000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142562.507087000,0.000182000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142563.538329000,1.031242000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142563.538580000,0.000251000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142564.553174000,1.014594000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142564.553388000,0.000214000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142565.593715000,1.040327000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142565.594184000,0.000469000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142566.860632000,1.266448000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142566.861601000,0.000969000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142567.501313000,0.639712000,,,,,,,,,,,,,,,,,60,0
1747142567.501327000,0.000014000,,,,,,,,,,,,,,,,,42,0
1747142567.868382000,0.367055000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142567.868612000,0.000230000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142568.881448000,1.012836000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142568.881860000,0.000412000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142569.969247000,1.087387000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142569.969444000,0.000197000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142571.005288000,1.035844000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142571.005517000,0.000229000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142572.728782000,1.723265000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142572.729011000,0.000229000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142573.753719000,1.024708000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142573.753998000,0.000279000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142574.757326000,1.003328000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142574.757586000,0.000260000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142575.785441000,1.027855000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142575.785687000,0.000246000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142576.809045000,1.023358000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142576.809341000,0.000296000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
1747142577.837201000,1.027860000,1,64,10.7.7.5,10.7.7.4,,,,,,,,,,,,,98,0
1747142577.837644000,0.000443000,1,64,10.7.7.4,10.7.7.5,,,,,,,,,,,,,98,0
